,Actor1CountryCode,Actor1Name,GoldsteinScale,NumMentions,SQLDATE
89,LBR,ELLEN JOHNSON SIRLEAF,-4.4,3,20111009
90,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20111010
91,LBR,ELLEN JOHNSON SIRLEAF,-4.0,5,20111010
92,LBR,ELLEN JOHNSON SIRLEAF,4.0,3,20111011
93,LBR,ELLEN JOHNSON SIRLEAF,-2.0,3,20111011
94,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20111011
95,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20111011
96,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20111011
97,LBR,ELLEN JOHNSON SIRLEAF,3.4,10,20111012
98,LBR,ELLEN JOHNSON SIRLEAF,3.4,7,20111012
99,LBR,ELLEN JOHNSON SIRLEAF,-2.0,7,19870206
100,LBR,ELLEN JOHNSON SIRLEAF,5.0,1,19870225
101,LBR,ELLEN JOHNSON SIRLEAF,4.0,20,20090304
102,LBR,ELLEN JOHNSON SIRLEAF,4.0,20,20090304
103,LBR,ELLEN JOHNSON SIRLEAF,1.0,20,20090304
104,LBR,ELLEN JOHNSON SIRLEAF,1.0,16,20090304
105,LBR,ELLEN JOHNSON SIRLEAF,-5.0,3,19900601
106,LBR,ELLEN JOHNSON SIRLEAF,-10.0,9,20100430
107,LBR,ELLEN JOHNSON SIRLEAF,3.0,9,20100430
108,LBR,ELLEN JOHNSON SIRLEAF,5.2,9,20100430
109,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20100501
110,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20100501
111,LBR,ELLEN JOHNSON SIRLEAF,1.9,1,20100501
112,LBR,ELLEN JOHNSON SIRLEAF,2.8,7,20100501
113,LBR,ELLEN JOHNSON SIRLEAF,2.8,4,20100503
114,LBR,ELLEN JOHNSON SIRLEAF,1.9,14,20100503
115,LBR,ELLEN JOHNSON SIRLEAF,2.8,14,20100503
116,LBR,ELLEN JOHNSON SIRLEAF,4.0,6,20140617
117,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20140617
118,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20140617
119,LBR,ELLEN JOHNSON SIRLEAF,7.0,6,20140617
120,LBR,ELLEN JOHNSON SIRLEAF,7.0,2,20140617
121,LBR,ELLEN JOHNSON SIRLEAF,7.0,2,20140617
122,LBR,ELLEN JOHNSON SIRLEAF,3.0,20,20140617
123,LBR,ELLEN JOHNSON SIRLEAF,4.0,10,20140617
124,LBR,ELLEN JOHNSON SIRLEAF,4.0,6,20140617
125,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20140617
126,LBR,ELLEN JOHNSON SIRLEAF,4.0,1,20140617
127,LBR,ELLEN JOHNSON SIRLEAF,1.0,18,20140617
128,LBR,ELLEN JOHNSON SIRLEAF,1.0,6,20140617
129,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20140617
130,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20140617
131,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20140617
132,LBR,ELLEN JOHNSON SIRLEAF,2.8,6,20140617
133,LBR,ELLEN JOHNSON SIRLEAF,1.9,9,20120328
134,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20120328
135,LBR,ELLEN JOHNSON SIRLEAF,4.0,5,20120328
136,LBR,ELLEN JOHNSON SIRLEAF,1.0,2,20120328
137,LBR,ELLEN JOHNSON SIRLEAF,1.0,5,20120328
138,LBR,ELLEN JOHNSON SIRLEAF,0.4,3,20120328
139,LBR,ELLEN JOHNSON SIRLEAF,0.4,4,20120328
140,LBR,ELLEN JOHNSON SIRLEAF,0.4,2,20120328
141,LBR,ELLEN JOHNSON SIRLEAF,0.4,3,20120328
142,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20120328
143,LBR,ELLEN JOHNSON SIRLEAF,-10.0,5,20120328
144,LBR,ELLEN JOHNSON SIRLEAF,7.0,5,20120329
145,LBR,ELLEN JOHNSON SIRLEAF,6.4,10,20140321
146,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20140321
147,LBR,ELLEN JOHNSON SIRLEAF,3.4,8,20140321
148,LBR,ELLEN JOHNSON SIRLEAF,3.4,10,20140321
149,LBR,ELLEN JOHNSON SIRLEAF,5.0,30,20130918
150,LBR,ELLEN JOHNSON SIRLEAF,5.0,15,20130918
151,LBR,ELLEN JOHNSON SIRLEAF,5.0,5,20130918
152,LBR,ELLEN JOHNSON SIRLEAF,4.0,10,20130918
153,LBR,ELLEN JOHNSON SIRLEAF,5.0,10,20130919
154,LBR,ELLEN JOHNSON SIRLEAF,5.0,5,20130919
155,LBR,ELLEN JOHNSON SIRLEAF,5.0,5,20130919
156,LBR,ELLEN JOHNSON SIRLEAF,1.9,24,20130920
157,LBR,ELLEN JOHNSON SIRLEAF,1.9,9,20130920
158,LBR,ELLEN JOHNSON SIRLEAF,3.0,3,20130920
159,LBR,ELLEN JOHNSON SIRLEAF,-4.0,3,20130920
160,LBR,ELLEN JOHNSON SIRLEAF,3.4,24,20130920
161,LBR,ELLEN JOHNSON SIRLEAF,4.0,16,20120517
162,LBR,ELLEN JOHNSON SIRLEAF,4.0,2,20120517
163,LBR,ELLEN JOHNSON SIRLEAF,4.0,9,20120518
164,LBR,ELLEN JOHNSON SIRLEAF,4.0,8,20120518
165,LBR,ELLEN JOHNSON SIRLEAF,4.0,1,20120518
166,LBR,ELLEN JOHNSON SIRLEAF,0.0,3,20120519
167,LBR,ELLEN JOHNSON SIRLEAF,0.0,1,20120519
168,LBR,ELLEN JOHNSON SIRLEAF,7.0,7,20120520
169,LBR,ELLEN JOHNSON SIRLEAF,1.9,3,20120521
170,LBR,ELLEN JOHNSON SIRLEAF,2.8,6,20120521
171,LBR,ELLEN JOHNSON SIRLEAF,0.0,7,20120521
172,LBR,ELLEN JOHNSON SIRLEAF,-2.0,9,20070605
173,LBR,ELLEN JOHNSON SIRLEAF,-5.0,3,20070606
174,LBR,ELLEN JOHNSON SIRLEAF,3.0,9,20070606
175,LBR,ELLEN JOHNSON SIRLEAF,-5.0,2,20070606
176,LBR,ELLEN JOHNSON SIRLEAF,0.0,7,20070606
177,LBR,ELLEN JOHNSON SIRLEAF,-5.0,7,20070607
178,LBR,ELLEN JOHNSON SIRLEAF,-5.0,2,20070607
179,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20070607
180,LBR,ELLEN JOHNSON SIRLEAF,3.4,5,20070607
181,LBR,ELLEN JOHNSON SIRLEAF,3.0,7,20070607
182,LBR,ELLEN JOHNSON SIRLEAF,3.4,5,20070611
183,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20070611
184,LBR,ELLEN JOHNSON SIRLEAF,3.4,1,20070611
185,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20070612
186,LBR,ELLEN JOHNSON SIRLEAF,3.4,7,20070612
187,LBR,ELLEN JOHNSON SIRLEAF,3.4,9,20070612
188,LBR,ELLEN JOHNSON SIRLEAF,3.4,7,20070613
189,LBR,ELLEN JOHNSON SIRLEAF,-2.0,7,20070613
190,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20070613
191,LBR,ELLEN JOHNSON SIRLEAF,-2.0,2,20070613
192,LBR,ELLEN JOHNSON SIRLEAF,0.0,7,20070613
193,LBR,ELLEN JOHNSON SIRLEAF,3.4,2,20070613
194,LBR,ELLEN JOHNSON SIRLEAF,3.0,7,20070614
195,LBR,ELLEN JOHNSON SIRLEAF,1.9,4,20070614
196,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20070614
197,LBR,ELLEN JOHNSON SIRLEAF,1.9,2,20070614
198,LBR,ELLEN JOHNSON SIRLEAF,3.0,2,20070614
199,LBR,ELLEN JOHNSON SIRLEAF,3.4,5,20070614
200,LBR,ELLEN JOHNSON SIRLEAF,6.0,7,20070614
201,LBR,ELLEN JOHNSON SIRLEAF,0.0,10,20070614
202,LBR,ELLEN JOHNSON SIRLEAF,0.0,4,20070614
203,LBR,ELLEN JOHNSON SIRLEAF,1.9,6,20070614
204,LBR,ELLEN JOHNSON SIRLEAF,3.0,6,20110912
205,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20110913
206,LBR,ELLEN JOHNSON SIRLEAF,2.8,2,20110913
207,LBR,ELLEN JOHNSON SIRLEAF,1.9,5,20110913
208,LBR,ELLEN JOHNSON SIRLEAF,4.0,5,20110913
209,LBR,ELLEN JOHNSON SIRLEAF,1.0,5,20110913
210,LBR,ELLEN JOHNSON SIRLEAF,6.0,2,20100617
211,LBR,ELLEN JOHNSON SIRLEAF,6.0,1,20100617
212,LBR,ELLEN JOHNSON SIRLEAF,6.0,5,20100617
213,LBR,ELLEN JOHNSON SIRLEAF,-5.0,10,20100618
214,LBR,ELLEN JOHNSON SIRLEAF,3.4,4,20100622
215,LBR,ELLEN JOHNSON SIRLEAF,2.8,5,20100622
216,LBR,ELLEN JOHNSON SIRLEAF,1.0,9,20100623
217,LBR,ELLEN JOHNSON SIRLEAF,2.8,9,20100623
218,LBR,ELLEN JOHNSON SIRLEAF,-5.0,7,20100629
219,LBR,ELLEN JOHNSON SIRLEAF,-5.0,2,20100629
